MUNICIPIO,CODIGO DANE INSTITUCIÓN,ESTABLECIMIENTO EDUCATIVO,CODIGO DANE SEDE,SEDE,VEREDA
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000082,PISMAL,PISMAL
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000333,SAN MIGUEL,SAN MIGUEL
BUENAVISTA,215109000163,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA LA GRANJA,215109000163,INSTITUCIÒN EDUCATIVA TECNICA AGROPECUARIA LA GRANJA - SEDE PRINCIPAL,CAMPOALEGRE
BUENAVISTA,215109000163,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA LA GRANJA,215109000309,CAÑAVERAL,CAÑAVERAL
BUENAVISTA,215109000163,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA LA GRANJA,215109000171,LA HERRADURA,LA HERRADURA
BUENAVISTA,215109000163,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA LA GRANJA,215109000180,SAN RAFAEL,SAN RAFAEL
BUENAVISTA,215109000163,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA LA GRANJA,215109000350,SANTO DOMINGO,SANTO DOMINGO
BUENAVISTA,215109000163,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA LA GRANJA,215109000112,SARVITH,SARVITH
BUENAVISTA,215109000163,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA LA GRANJA,215109000155,FICAL,FICAL
BUENAVISTA,215109000163,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA LA GRANJA,215109000139,MIRAFLORES,MIRAFLORES
BUSBANZÁ,115114000011,INSTITUCIÓN EDUCATIVA ECOLOGICO DE BUSBANZA,215114000040,CUSAGOTA,CUSAGOTA
CALDAS,115131000172,INSTITUCIÓN EDUCATIVA FRANCISCO JOSE DE CALDAS,215131000118,EL CUBO,EL CUBO
CALDAS,115131000172,INSTITUCIÓN EDUCATIVA FRANCISCO JOSE DE CALDAS,215131000053,CHINGAGUTA,CHINGAGUTA
